   5407 -                 1992     S   2002-01-13 a
   5587 -                 1990     Sr  2001-03-28 a
   5604 -                 1992     V   2001-03-29 f
   5641 McCleese          -          Sw  2005-04-12 a  
   5660 -                 1974     Q   2093-08-22 a
   5685 Sanenobufukui     -          S   2001-03-29 a  
   5817 Robertfrazer      -          Sr  2004-09-22 a  
   5840 Raybrown          -          L   2001-08-24 a  
   6047 -                 1991    S   2005-10-08 a
   6239 Minos             -          Sqw 2004-01-26 e  
   6386 Keithnoll         -          S   2005-03-03 a  
   6411 Tamaga            -          B   2004-02-20 e  
   6455 -                 1992     Srw 2002-10-28 a
   6585 O'Keefe           -          S   2006-10-25 a  
   7341 -                 1991     Q   2002-03-16 a
   7763 Crabeels          -          L   2002-06-01 a  
   8334 -                 1984     S   2003-03-17 a
   8444 Popovich          -          S   2003-09-30 e  
  17274 -                 2000   D   2000-10-10 d
  18736 -                 1998     Sw  2001-01-30 d
  19127 Olegefremov       -          Srw 2003-09-30 e  
  19356 -                 1997    Sq  2001-01-30 a
  20786 -                 2000   Sq 2003-09-01 d
  20790 -                 2000   S   2001-01-29 d
  22771 -                 1999    S   2003-10-16 d
  24475 -                 2000    Sw  2001-03-29 d
  25330 -                 1999    Xk 2002-10-27 d
  35107 -                 1991     Sq  2002-12-27 a
  36284 -                 2000    K   2002-03-16 d
  53435 -                 1999   Srw 2006-10-25 g
  54690 -                 2001     S   2001-03-28 d
  66146 -                 1998    Q   2003-09-01 e
  86450 -                 2000   L   2001-01-29 d
  86819 -                 2000  Sq  2000-10-09 d
  89355 -                 2001   Sr  2002-03-16 a
  98943 -                 2001   Sw  2004-10-24 f
  99907 -                 1989     Sr  2002-10-27 a
 137062 -                 1998     Sr  2002-10-27 a
 138258 -                 2000    Sq  2003-10-16 d
 162058 -                 1997   Q   2002-03-15 a
 162781 -                 2000   S   2001-01-29 d
 999995 -                 2000    D   2000-09-04 d
 999996 -                 2001   X   2002-03-15 d
 999997 -                 2001  S   2002-04-14 d
 999998 -                 2002     S   2002-01-13 d
 999999 -                 2002     S   2002-01-13 d
