"Spkid","Surname","Name","Spec.type","OCC","Diameter (km)","Launch date (one-way)","Min total dv (km/s)","TOF (days)","Launch date (round-trip)","Min total dv (km/s)","Mission duration (days)","Stay (days)"
"2152756","1999 JV3","","S","0","0,57 ÷ 1.29","2029-08-24","11.79","420","2027-05-01","18.77","373","13"
"2152931","2000 EA107","","Q","0","1,646","2043-05-19","19.72","280","2044-05-11","22.41","363","18"
"2152978","2000 GJ147","","S","0","0,531","2040-06-11","13.25","180","2039-11-24","16.99","363","33"
"2153002","2000 JG5","","S","0","0,79 ÷ 1.76","2045-02-17","23.06","160","2045-02-15","30.42","443","8"
"2153201","2000 WO107","","X","0","0,51","2040-08-14","15.08","190","2040-08-30","18.60","448","28"
"2153953","2002 AD9","","L","0","1,55 ÷ 3.48","2048-10-15","13.90","390","2032-03-15","32.06","393","33"
"2161989","1978 CA","Cacus","S","0","1,9","2040-07-13","14.30","270","2040-07-11","16.62","423","33"
"2162011","1994 AB1","Konnohmaru","Sq","0","1,69 ÷ 3.78","2045-01-08","9.81","400","2049-12-21","21.73","413","8"
"2162015","1994 TF2","","Sr","1","0,50 ÷ 1.11","2049-12-29","14.29","410","2025-09-28","37.76","428","8"
"2162142","1998 VR","","Sk","0","0,61 ÷ 1.36","2043-05-27","11.22","180","2043-05-27","16.12","348","33"
"2162157","1999 CV8","","V","0","0,37 ÷ 0.84","2035-10-28","10.88","440","2028-12-31","14.02","393","48"
"2162173","1999 JU3","Ryugu","Cg","0","0,45 ÷ 1.02","2033-12-17","4.42","160","2046-05-11","7.06","383","8"
"2162385","2000 BM19","","O","0","0,69 ÷ 1.55","2047-05-06","9.00","240","2031-05-10","13.96","353","8"
"2162567","2000 RW37","","C","0","0,335","2029-01-28","8.09","310","2046-03-12","11.73","353","8"
"2162740","2000 WF6","","Sq","1","0,72 ÷ 1.60","2033-01-07","19.18","440","2027-06-30","34.98","353","8"
"2162781","2000 XL44","","S","0","0,96 ÷ 2.15","2041-02-22","10.77","440","2043-09-04","23.00","428","8"
"2162998","2001 SK162","","T","0","0,875","2025-03-14","6.62","330","2025-04-11","14.60","428","8"
"2163014","2001 UA5","","Sq","0","0,99 ÷ 2.20","2032-12-14","8.12","250","2032-03-25","15.01","423","18"
"2171839","2001 JM1","","S","0","0,52 ÷ 1.16","2040-04-16","9.56","390","2030-11-21","17.91","353","8"
"2175706","1996 FG3","","C","0","1,196","2025-07-28","5.63","290","2037-09-15","7.43","443","8"
"2175729","1998 BB10","","Sq","0","0,28 ÷ 0.63","2040-11-10","10.92","120","2040-01-23","14.71","363","18"
"2189040","2000 MU1","","S","0","0,36 ÷ 0.81","2045-04-06","10.02","140","2044-07-30","14.81","368","8"
"2192563","1998 WZ6","","V","0","1,22 ÷ 2.72","2043-04-01","14.44","420","2040-12-08","22.02","358","13"
"2194006","2001 SG10","","X","0","0,30 ÷ 0.67","2029-03-01","8.35","100","2029-03-11","12.28","388","13"
"2194268","2001 UY4","","X","0","1,244","2036-07-26","14.01","270","2039-12-04","22.44","423","18"
"2194386","2001 VG5","","Sq","0","1,43 ÷ 3.20","2030-03-28","13.77","140","2043-12-03","22.98","358","13"
"2200754","2001 WA25","","S","0","0,68 ÷ 1.53","2030-10-06","13.93","390","2036-06-12","19.84","383","8"
"2200840","2001 XN254","","S","0","1,10 ÷ 2.46","2029-04-26","8.21","440","2047-06-15","15.74","383","8"
"2203015","1999 YF3","","Sq","0","0,67 ÷ 1.50","2031-01-02","12.71","330","2028-10-22","23.76","443","68"
"2205744","2002 BK25","","Sk","0","0,79 ÷ 1.76","2047-07-17","15.29","230","2046-06-30","23.84","433","43"
"2207970","1996 BZ3","","X","0","0,82 ÷ 1.84","2025-10-08","9.76","130","2025-09-18","19.89","428","8"
"2208023","1999 AQ10","","S","0","0,27 ÷ 0.61","2034-04-16","6.40","340","2044-08-29","8.68","358","28"
"2215188","2000 NM","","Sr","0","2,78 ÷ 6.21","2044-09-10","15.57","160","2043-12-13","27.72","373","13"
"2219071","1997 US9","","Q","0","0,657","2039-04-30","9.76","220","2036-10-30","16.90","388","118"
"2222165","2000 AX93","","Sq","0","1,00 ÷ 2.24","2036-02-01","13.46","290","2035-06-08","24.66","398","8"
"2228368","2000 WK10","","X","0","0,68 ÷ 1.52","2043-08-31","17.61","260","2039-12-14","27.31","443","53"
"2257838","2000 JQ66","","R","0","0,90 ÷ 2.02","2040-09-15","9.86","420","2035-02-28","22.29","413","8"
"2276049","2002 CE26","","C","0","3,5","2044-10-12","19.03","250","2044-03-12","34.18","358","28"
"2283460","2001 PD1","","K","0","0,78 ÷ 1.75","2043-12-13","9.56","400","2031-06-19","19.55","413","8"
"2285540","2000 GU127","","S","0","0,68 ÷ 1.53","2039-03-13","15.01","350","2048-12-06","26.19","448","28"
"2302311","2002 AA","","Sq","0","0,45 ÷ 1.01","2028-08-05","9.16","400","2033-11-05","12.76","433","58"
"2307161","2002 DY3","","Xk","0","0,72 ÷ 1.60","2035-03-02","11.84","370","2032-12-20","20.73","448","43"
"2308635","2005 YU55","","C","0","0,4","2046-07-22","6.57","320","2040-01-23","9.23","433","13"
"2310402","1999 EE5","","S","0","0,72 ÷ 1.60","2025-03-30","13.57","300","2039-08-26","25.30","388","13"
"2322652","1999 JO8","","S","0","1,42 ÷ 3.17","2025-07-12","13.47","410","2041-11-03","28.58","403","13"
"2322775","2001 HA8","","C","0","1,28 ÷ 2.86","2049-07-22","10.03","390","2048-11-16","22.18","413","8"
"2337866","2001 WL15","","Sk","0","0,62 ÷ 1.40","2044-01-22","7.69","340","2029-06-09","15.65","398","8"
